"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0000690 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0000800 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0000853 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0000942 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0000953 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001090 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001122 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001196 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001207 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001260 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001343 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001417 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001545 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001673 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001684 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001767 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001820 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0001831 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002007 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002060 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002086 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002337 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002348 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002443 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002589 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002600 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002653 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002685 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002696 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002764 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002796 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002828 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002839 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002907 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0002939 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003007 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003039 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003065 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003154 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003237 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003284 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003367 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003378 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003452 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003463 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003474 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003548 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003580 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003789 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003800 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003877 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003909 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0003977 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004114 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004422 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004478 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004585 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004626 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004679 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004756 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004782 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004814 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004861 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004872 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004883 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0004999 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005061 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005072 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005083 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005115 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005147 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005455 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005523 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005642 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005794 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
"Notice","W14006: No inflections found in inflections group tag <idx:infl>.       line: 0005805 in file: /private/var/folders/fk/0wv75pk56nx3qxln8f7vx5fw0000gn/T/327ddb3a-39a9-4b30-a70b-bcc4e3723093/cTemp/pOut/extractedEpub/html/hebrew_to_english_dict_0.html","","","",""
